Sr no,Menu Name,Stage 1,,,Stage 2,,,Stage3,,,Stage4,,,Stage5,,,Comp On/Off,Active,HACCP Color,Image
,,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,,,,
57,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
58,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
59,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
60,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
61,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
62,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
63,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
64,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
65,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
66,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
67,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
68,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
69,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
70,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
71,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
72,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
73,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
74,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
75,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
76,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
